track_id,track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
1,Dance Times,Kanye West,1,2023,11,24,1795,6,46643625,199,F#,Major,77,85,50,0,48,15,29,663,19,373,6,10
2,Rain Lights,Miley Cyrus,1,2021,6,28,2226,25,62741851,135,A#,Minor,93,34,23,5,42,19,20,696,14,803,12,1
3,Midnight Ways,"Harry Styles, BTS",2,2023,3,12,1690,20,37882702,178,F#,Minor,91,38,56,7,14,7,22,543,20,424,7,2
4,Rain Roads (Acoustic),Imagine Dragons,1,2020,8,13,4595,8,87556530,162,F,Major,37,75,78,11,48,8,9,1570,17,1661,13,9
5,Sunset Dreams,Post Malone,1,2021,8,17,2859,14,125200823,135,F#,Major,78,10,48,64,48,16,34,1442,34,1215,21,7
6,Crystal Dreams,"Dua Lipa, Adele",2,2021,3,18,3110,41,176278979,74,D#,Major,30,72,23,68,49,13,10,1388,7,1488,19,15
7,Velvet Nights,Lil Baby,1,2024,7,7,2059,51,118498750,90,D#,Major,28,53,17,75,35,19,39,1232,41,642,33,28
8,Night Times,SZA,1,2018,6,3,840,21,53821619,181,F#,Major,32,22,70,45,27,31,31,374,17,201,15,3
9,Heart Memories,Morgan Wallen,1,2021,2,8,1042,8,22880771,198,C,Major,50,31,67,62,30,18,27,457,2,346,3,0
10,Love Clouds,Drake,1,2023,8,10,2679,23,86481558,108,E,Major,27,84,84,7,47,25,5,1603,17,1067,15,2
11,Crystal Rivers,Drake,1,2024,2,28,2916,12,19123956,80,F#,Minor,53,36,55,30,16,30,10,979,18,798,1,9
12,Electric Lights (Remix),Lil Baby,1,2018,10,19,2165,6,12897499,154,E,Major,76,79,53,78,41,38,2,978,4,1039,2,3
13,Heart Moments,"Lil Baby, Bruno Mars",2,2024,12,18,854,6,21973686,83,A#,Minor,55,15,15,42,49,13,42,432,8,300,8,0
14,Electric Skies (Deluxe),Kendrick Lamar,1,2018,2,23,1103,26,30780995,138,F,Major,65,36,46,85,6,27,37,453,17,269,4,0
15,Fire Nights (Remix),"Maroon 5, Chris Stapleton, Post Malone, Beyoncé",4,2020,6,26,3745,34,103138976,116,D#,Minor,64,49,44,28,1,17,27,1302,44,870,2,30
16,Dreams Ways,Miley Cyrus,1,2022,11,27,957,0,62963366,87,A,Minor,64,50,70,77,32,12,26,320,8,242,8,0
17,Night Waves,Avicii,1,2024,9,22,2750,10,29227068,139,A#,Minor,61,61,52,70,8,17,28,1339,3,1143,9,8
18,Fire Dreams,"Lil Baby, 21 Savage, Chris Stapleton",3,2022,1,10,2276,25,31885021,114,G#,Minor,41,94,25,36,32,26,7,1078,20,675,14,7
19,Forever Times (feat. DJ),Chris Stapleton,1,2018,4,16,4282,73,162326782,97,A#,Major,33,64,43,22,44,38,31,1534,44,1349,25,15
20,Heart Streets,Drake,1,2022,9,18,2576,24,67841642,174,D,Minor,77,43,46,81,17,38,33,1461,19,1145,13,8
21,Electric Vibes (feat. DJ),Kanye West,1,2021,6,18,1742,22,12474178,75,D#,Minor,69,84,17,73,24,35,2,634,13,561,14,6
22,Midnight Waves,Shakira,1,2023,10,8,3226,13,50237903,179,D,Major,70,85,87,84,1,10,43,1437,12,970,12,2
23,Electric Nights,OneRepublic,1,2021,4,15,2367,30,41720635,198,C,Minor,48,93,23,83,2,6,17,1300,8,1066,15,0
24,Stars Times,"Doja Cat, Kanye West",2,2023,10,7,1901,24,94246318,139,C#,Major,59,83,63,50,45,17,6,780,19,726,3,2
25,Summer Feelings,Zedd,1,2021,11,20,1707,17,40959585,167,G,Major,75,56,96,58,45,14,29,731,11,376,10,0
26,Dance Dreams (Deluxe),"Justin Bieber, Lil Baby",2,2023,8,14,2034,27,63411333,178,A,Minor,63,13,78,41,11,36,15,760,2,577,14,3
27,Dance Dreams (Acoustic),"Shakira, Miley Cyrus",2,2022,9,7,949,7,14702882,83,E,Major,71,41,54,84,37,28,32,481,20,392,14,0
28,Sunset Skies,Daft Punk,1,2023,5,10,2302,23,29513688,115,B,Minor,55,85,82,76,18,11,14,823,3,973,5,3
29,Fire Eyes,Rihanna,1,2022,5,2,1566,27,17964910,182,G,Minor,43,16,47,61,7,9,27,823,3,723,9,7
30,Night Moments,David Guetta,1,2022,5,3,1408,24,25296164,157,G,Minor,58,85,69,39,36,8,41,598,19,615,7,8
31,Rain Days,Luke Combs,1,2019,4,6,2823,19,46417879,78,A#,Major,53,90,90,84,12,32,9,1244,1,760,9,7
32,Stars Ways (Remix),Kygo,1,2019,5,20,3420,56,189541956,188,G#,Minor,76,20,91,5,27,25,40,1153,44,995,25,17
33,Summer Roads,Kendrick Lamar,1,2018,11,27,2035,16,49516232,185,C#,Minor,64,62,57,41,42,11,12,1008,8,517,13,10
34,Neon Eyes,Miley Cyrus,1,2022,9,2,1429,8,39888885,198,G,Minor,26,34,81,46,39,36,42,567,12,656,0,10
35,Dance Skies,"The Chainsmokers, Olivia Rodrigo",2,2021,12,16,833,22,13662346,117,C#,Minor,35,92,34,63,45,23,34,289,17,170,13,1
36,Neon Hills,Metro Boomin,1,2022,7,7,1136,28,88021084,189,E,Major,56,48,90,74,42,36,11,387,2,321,13,5
37,Golden Lights,The Chainsmokers,1,2022,8,11,2679,52,110706774,98,G,Major,36,74,90,42,6,33,8,838,47,915,24,24
38,Stars Waves (feat. DJ),"Martin Garrix, Taylor Swift, Luke Combs",3,2019,5,11,3765,10,120496112,184,G#,Major,28,40,95,87,18,19,7,2091,43,1723,24,20
39,Heart Streets,"OneRepublic, Zach Bryan, J. Cole, Morgan Wallen",4,2021,1,2,2091,4,83529546,104,C#,Minor,50,73,89,18,14,34,42,780,13,773,5,2
40,Love Streets (Deluxe),Kendrick Lamar,1,2020,8,12,2959,30,65489763,158,G,Major,50,58,88,45,36,23,20,1264,8,997,9,3
41,Love Roads (Remix),"The Weeknd, Future, Maroon 5, Rihanna",4,2024,12,16,2424,7,72455618,84,A#,Major,59,66,19,74,23,13,7,1190,19,667,4,10
42,Sunset Nights,Rihanna,1,2023,6,17,5397,21,164881840,146,C#,Minor,29,28,43,86,46,30,37,2035,30,2645,18,47
43,Midnight Story,Lady Gaga,1,2019,6,22,2821,3,49055211,116,A#,Major,79,48,98,52,7,13,4,1417,15,585,10,9
